manifest_id,name
ark:/81055/vdc_100022588857.0x000002,Covent Garden Theatre 1753-1779
ark:/81055/vdc_100022588873.0x000002,Covent Garden Theatre 1753-1779
ark:/81055/vdc_100022588789.0x000002,Covent Garden Theatre 1779-1781
ark:/81055/vdc_100022588775.0x000002,Covent Garden Theatre 1781-1783
ark:/81055/vdc_100022588781.0x000002,Covent Garden Theatre 1783-1785
ark:/81055/vdc_100022588787.0x000002,Covent Garden Theatre 1785-1787
ark:/81055/vdc_100022588825.0x000002,Covent Garden Theatre 1787-1789
ark:/81055/vdc_100022588823.0x000002,Covent Garden Theatre 1789-1791
ark:/81055/vdc_100022588805.0x000002,Covent Garden Theatre 1791-1793
ark:/81055/vdc_100022588799.0x000002,Covent Garden Theatre 1793-1796
ark:/81055/vdc_100022588821.0x000002,Covent Garden Theatre 1796-1798
ark:/81055/vdc_100022588795.0x000002,Covent Garden Theatre 1798-1800
ark:/81055/vdc_100022588801.0x000002,Covent Garden Theatre 1800-1802
ark:/81055/vdc_100022589292.0x000002,Covent Garden Theatre 1802-1804
ark:/81055/vdc_100022588827.0x000002,Covent Garden Theatre 1804-1806
ark:/81055/vdc_100022588793.0x000002,Covent Garden Theatre 1806-1808
ark:/81055/vdc_100022588855.0x000002,Covent Garden Theatre 1809-1811
ark:/81055/vdc_100022588869.0x000002,Covent Garden Theatre 1809-1811
ark:/81055/vdc_100022588803.0x000002,Covent Garden Theatre 1812-1814
ark:/81055/vdc_100022588811.0x000002,Covent Garden Theatre 1815-1816
ark:/81055/vdc_100022588791.0x000002,Covent Garden Theatre 1817-1818
ark:/81055/vdc_100022588797.0x000002,Covent Garden Theatre 1817-1825
ark:/81055/vdc_100022588807.0x000002,Covent Garden Theatre 1819-1820
ark:/81055/vdc_100022588859.0x000002,Covent Garden Theatre 1821-1822
ark:/81055/vdc_100022588889.0x000002,Covent Garden Theatre 1823-1824
ark:/81055/vdc_100022588883.0x000002,Covent Garden Theatre 1825-1826
ark:/81055/vdc_100022588879.0x000002,Covent Garden Theatre 1826-1830
ark:/81055/vdc_100022588881.0x000002,Covent Garden Theatre 1826-1830
ark:/81055/vdc_100022588891.0x000002,Covent Garden Theatre 1827-1831
ark:/81055/vdc_100022588885.0x000002,Covent Garden Theatre 1829-1831
ark:/81055/vdc_100022588887.0x000002,Covent Garden Theatre 1829-1831
ark:/81055/vdc_100022588893.0x000002,Covent Garden Theatre 1831-1832
ark:/81055/vdc_100022588897.0x000002,Covent Garden Theatre 1831-1832
ark:/81055/vdc_100022588901.0x000002,Covent Garden Theatre 1832-1833
ark:/81055/vdc_100022589010.0x000002,Covent Garden Theatre 1834-1835
ark:/81055/vdc_100022588895.0x000002,Covent Garden Theatre 1834-1836
ark:/81055/vdc_100022588899.0x000002,Covent Garden Theatre 1834-1836
ark:/81055/vdc_100022588929.0x000002,Covent Garden Theatre 1840-1841
ark:/81055/vdc_100022588745.0x000002,Drury Lane Theatre 1754-1813
ark:/81055/vdc_100022588737.0x000002,Drury Lane Theatre 1763-1764
ark:/81055/vdc_100022588691.0x000002,Drury Lane Theatre 1780-1785
ark:/81055/vdc_100022588693.0x000002,Drury Lane Theatre 1785-1787
ark:/81055/vdc_100022588689.0x000002,Drury Lane Theatre 1787-1794
ark:/81055/vdc_100022588695.0x000002,Drury Lane Theatre 1794-1795
