sysno,ark,name
16661350,ark:/81055/vdc_100022588857.0x000002,Covent Garden Theatre 1753-1779
16661350,ark:/81055/vdc_100022588873.0x000002,Covent Garden Theatre 1753-1779
16661351,ark:/81055/vdc_100022588789.0x000002,Covent Garden Theatre 1779-1781
16661352,ark:/81055/vdc_100022588775.0x000002,Covent Garden Theatre 1781-1783
16661353,ark:/81055/vdc_100022588781.0x000002,Covent Garden Theatre 1783-1785
16661354,ark:/81055/vdc_100022588787.0x000002,Covent Garden Theatre 1785-1787
16661355,ark:/81055/vdc_100022588825.0x000002,Covent Garden Theatre 1787-1789
16661356,ark:/81055/vdc_100022588823.0x000002,Covent Garden Theatre 1789-1791
16661357,ark:/81055/vdc_100022588805.0x000002,Covent Garden Theatre 1791-1793
16661358,ark:/81055/vdc_100022588799.0x000002,Covent Garden Theatre 1793-1796
16661359,ark:/81055/vdc_100022588821.0x000002,Covent Garden Theatre 1796-1798
16661360,ark:/81055/vdc_100022588795.0x000002,Covent Garden Theatre 1798-1800
16661261,ark:/81055/vdc_100022588801.0x000002,Covent Garden Theatre 1800-1802
16661262,ark:/81055/vdc_100022589292.0x000002,Covent Garden Theatre 1802-1804
16661263,ark:/81055/vdc_100022588827.0x000002,Covent Garden Theatre 1804-1806
16661264,ark:/81055/vdc_100022588793.0x000002,Covent Garden Theatre 1806-1808
16661298,ark:/81055/vdc_100022588855.0x000002,Covent Garden Theatre 1809-1811
16661298,ark:/81055/vdc_100022588869.0x000002,Covent Garden Theatre 1809-1811
16661299,ark:/81055/vdc_100022588803.0x000002,Covent Garden Theatre 1812-1814
16661267,ark:/81055/vdc_100022588811.0x000002,Covent Garden Theatre 1815-1816
16661268,ark:/81055/vdc_100022588791.0x000002,Covent Garden Theatre 1817-1818
16661269,ark:/81055/vdc_100022588797.0x000002,Covent Garden Theatre 1817-1825
16661270,ark:/81055/vdc_100022588807.0x000002,Covent Garden Theatre 1819-1820
16661300,ark:/81055/vdc_100022588859.0x000002,Covent Garden Theatre 1821-1822
16661271,ark:/81055/vdc_100022588889.0x000002,Covent Garden Theatre 1823-1824
